"000000002592";"Værdiforsk. - solgte værdip."
"000000002593";"Værdiforsk. - af finans. akt."
"000000002594";"Værdiforsk. - optagne lån/gæld"
"000000002600";"Finansielle omkostninger"
"000000002602";"Likviditetsreguleringer"
"000000002620";"Renteudgifter SKB FF4"
"000000002630";"Renteudgifter SKB FF7"
"000000002640";"Renteudgifter SKB"
"000000002650";"Prioriteter"
"000000002660";"Fordelte emissionskurstab"
"000000002670";"Løbende indeksopskrivning"
"000000002680";"Morarenter og gebyrer til offentlige myndigheder"
"000000002681";"Morarenter og gebyrer til leverandører"
"000000002690";"Øvrige renteudgifter"
"000000002691";"Tab/Gevinst ved udlån"
"000000002692";"Tab/Gevinst v/køb værdipapirer"
"000000002693";"Tab/Gev. finans.aktiv. (emmi.)"
"000000002694";"Værdiforsk. - betalt afdrag"
"000000002800";"Ekstraordinære indtægter"
"000000002805";"Ekstraordinære indtægter"
"000000002900";"Ekstraordinære omkostninger"
"000000002905";"Ekstraordinære omkostninger"
"000000003000";"Skatter og afgifter"
"000000003010";"Indkomstskat af personer"
"000000003020";"Indkomstskat af selskaber"
"000000003030";"Realrenteafgift"
"000000003050";"Skat, formue og besiddelser"
"000000003060";"Told- og forbrugsafgifter"
"000000003070";"Overførte skatter"
"000000003080";"Andre skatter og afgifter"
"000000003091";"Oblig. gebyrer fra personer"
"000000003092";"Bøder og konfiskation"
"000000003094";"Bidrag til sociale ordninger"
"000000003096";"Andre arbejdsmarkedsbidrag"
"000000003097";"Øvr. oblig. bidrag, bøder mv."
"000000003100";"Overførselsindtægter fra EU"
"000000003110";"Løb. overførsel.indt. Færøerne"
"000000003112";"Løb. overfør.indt. Grønland"
"000000003115";"Landbrugsgarantifonden, EGFL"
"000000003120";"Socialfonden, ESF"
"000000003125";"Regionalfonden, EFRU"
"000000003130";"Landbf.udv.landdistr.,  ELFUL"
"000000003135";"Udv.fonden fiskeri, FIUF"
"000000003140";"Forskning og udvikling"
"000000003145";"Transportinfrastruktur"
"000000003150";"Undervisningsområdet"
"000000003155";"Øvrige overførsler fra EU"
"000000003200";"Overførselsindtægter fra kommuner og regioner"
"000000003210";"Overfør.indtægt fra kommuner"
"000000003220";"Overfør.indtægt fra regioner"
"000000003300";"Interne statslige overførselsindtægter"
"000000003310";"Intern statslig overf.indtægt"
"000000003400";"Øvrige overførselsindtægter"
"000000003410";"Øvrige overførselsindtægter"
"000000003500";"Forbrug af videreførsel"
"000000003510";"Forventet forbrug af videreført opsparing"
"000000004000";"Statslig momsrefusionsudgift"
"000000004090";"Momsudligning (til § 35) ØS"
"000000004100";"Overførselsudgifter til EU og øvrige udland"
"000000004110";"Færøerne"
"000000004120";"Grønland"
"000000004130";"EU og EUs institutioner"
"000000004140";"Andre internationale org."
"000000004150";"Bilat. tilskud, varer/tj. DK"
"000000004160";"Bilaterale tilskud i  øvrigt"
"000000004190";"Udland i øvrigt"
"000000004191";"Modkto K løn ifm tilsagn,kun§6"
"000000004195";"Ann. af tilsagn/tilskud udland"
"000000004200";"Overførselsudgifter til kommuner og regioner"
"000000004210";"Overfør.udgift til kommuner"
"000000004220";"Overfør.udgift til regioner"
"000000004300";"Interne statslige overførselsudgifter"
"000000004310";"Intern statslig overf.udgift"
"000000004400";"Tilskud til personer"
"000000004421";"Tjenestemandspensioner"
"000000004423";"Fratræd.ord.suppl.ydl.mm"
"000000004424";"Understøt.supp.ydl.overf.pers."
"000000004425";"Ann. af tilsagn/tilskud person"
"000000004500";"Tilskud til erhverv"
"000000004531";"Tilskud til erhverv"
"000000004535";"Ann.af tilsagn/tilskud erhverv"
"000000004600";"Tilskud til anden virksomhed og investeringstilskud"
"000000004641";"Sociale kasser og fonde"
"000000004643";"Løb.overførs. og øvr. tilskud"
"000000004645";"Ann.af tilsagn/tilskud a.virk."
"000000004651";"Investeringstilskud"
"000000004653";"Erstatninger"
"000000004654";"Engangstilskud i øvrigt"
"000000004655";"Ann. af inves.tilsagn/tilskud"
"000000004900";"Reserver og budgetregulering"
"000000004910";"Reserver og budgetreg."
"000000005000";"Immaterielle anlægsaktiver"
"000000005005";"Forudbetalinger for immaterielle anlæg"
"000000005012";"F.udv.proj anskaffelse"
"000000005013";"F.udv.proj akk. nedskrivning"
"000000005014";"F.udv.proj afhændelse/afgang"
"000000005015";"F.udv.proj akk. afskrivning"
"000000005016";"F.udv.proj akk. opskrivning"
"000000005017";"F.udv.proj ibrugtagning"
"000000005032";"Erh konc mv anskaffelse"
"000000005033";"Erh konc mv akk. nedskrivning"
"000000005034";"Erh konc mv afhændelse/afgang"
"000000005035";"Erh konc mv akk. afskrivning"
"000000005036";"Erh konc mv akk. opskrivning"
"000000005037";"Erhv. konc. ibrugtagning"
"000000005052";"Imm.udv.proj.u opf. tilgang"
"000000005053";"Imm.udv.proj.u opf. nedskriv."
"000000005054";"Imm.udv.proj.u opf. afgang"
"000000005098";"Ænd.imm.anlæg Modst."
"000000005100";"Anlægsaktiver (anskaffelser)"
"000000005105";"Forudbetalinger for materielle anlæg"
"000000005112";"Grunde/arealer - anskaffelser"
"000000005113";"Grunde/arealer - akk.nedskriv."
"000000005114";"Grunde/arealer - afhænd/afgang"
"000000005116";"Grunde/arealer - akk. opskriv."
"000000005117";"Grunde/arealer - ibrugtagning"
"000000005122";"Igangv.arb eg.regn tilgang"
"000000005123";"Igangv.arb eg.regn nedskriv."
"000000005124";"Igangv.arb eg.regn afgang"
"000000005127";"Igangv.arb eg.reg.tilg.lagerv."
"000000005128";"Igang.arb.e.r-national/neutral"
"000000005132";"Bygninger anskaffelse"
"000000005133";"Bygninger akk. nedskrivning"
"000000005134";"Bygninger afhændelse/afgang"
"000000005135";"Bygninger akk. afskrivning"
"000000005136";"Bygninger akk. opskrivning"
"000000005137";"Bygninger - ibrugtagning"
"000000005138";"Bygninger - national/neutralis"
"000000005142";"Infrastruk. anskaffelse"
"000000005143";"Infrastruk. akk. nedskrivning"
"000000005144";"Infrastruk. afhændelse/afgang"
"000000005145";"Infrastruk. akk. afskrivning"
"000000005146";"Infrastruk. akk. opskrivning"
"000000005147";"Infrastruktur ibrugtagning"
"000000005152";"Transport. anskaffelse"
"000000005153";"Transport. akk. nedskrivning"
"000000005154";"Transport. afhændelse/afgang"
"000000005155";"Transport. akk. afskrivning"
"000000005156";"Transport. akk. opskrivning"
"000000005157";"Transport. ibrugtagning"
"000000005162";"Prod./maskin anskaffelse"
"000000005163";"Prod./maskin akk. nedskrivning"
"000000005164";"Prod./maskin afhændelse/afgang"
"000000005165";"Prod./maskin akk. afskrivning"
"000000005166";"Prod./maskin akk. opskrivning"
"000000005167";"Prod./maskin ibrugtagning"
"000000005172";"IT-udstyr anskaffelse"
"000000005173";"IT-udstyr akk. nedskrivning"
"000000005174";"IT-udstyr afhændelse/afgang"
"000000005175";"IT-udstyr akk. afskrivning"
"000000005176";"IT-udstyr akk. opskrivning"
"000000005177";"IT-udstyr ibrugtagning"
"000000005182";"Inventar anskaffelse"
"000000005183";"Inventar akk. nedskrivning"
"000000005184";"Inventar afhændelse/afgang"
"000000005185";"Inventar akk. afskrivning"
"000000005186";"Inventar akk. opskrivning"
"000000005187";"Inventar ibrugtagning"
"000000005198";"Ænd.mat.anlæg Modst"
"000000005200";"Afhændelse af anlægsaktiver udenfor omk.reform"
"000000005284";"Salgsværdi af anlæg (omk.bas.bev.)"
"000000005287";"Modkonto til 5284 salgsværdi (omk.bas.bev.)"
"000000005294";"Salgsværdi af anlæg (udg.bas.)"
"000000005297";"Modkonto 5294 salgsværdi"
"000000005300";"Statsforskrivninger"
"000000005317";"Statsforskrivning - primokorr."
"000000005400";"Statslige udlån, tilgang"
"000000005416";"Udlån - alle tilgang"
"000000005418";"Udlån værdiregul. tilgang"
"000000005420";"Udlån - alle primokorrektion"
"000000005422";"Udlån alle flyt. bfkr."
"000000005424";"Tilsagn om udlån m og u. pant"
"000000005497";"Ænd.tilgang udlån Modst"
"000000005498";"Ændringer udlån - ØS"
"000000005500";"Statslige udlån, afgang"
"000000005512";"Udlån - alle afgang"
"000000005518";"Udlån værdiregul. afgang"
"000000005597";"Ænd.afgang udlån Modst"
"000000005600";"Emmissionskurstab, tilgang"
"000000005616";"Emis kurstab alle tilgang"
"000000005618";"Emis.kurstb al af/ned/opskr."
"000000005620";"Emis.kurstab alle primokorr"
"000000005622";"Emis.kurstab alle flyt b.k"
"000000005700";"Emmissionskurstab, afgang"
"000000005712";"Emis.kurstab alle afgang"
"000000005800";"Værdipapirer, tilgang"
"000000005812";"Obligationer alle tilgang"
"000000005813";"Akt., andelsbreve o.l. - tilg."
"000000005814";"Kapitalindskud - tilgang"
"000000005822";"Obligationer alle kurs.regul."
"000000005823";"Aktier, andel. kursregulering"
"000000005824";"Kapitalindsk.af-/ned-/opskriv."
"000000005832";"Obligationer alle primokorr."
"000000005833";"Aktier, andele primokorrektion"
"000000005834";"Kapitalindskud - primokorr."
"000000005842";"Obligationer alle flyt b.kreds"
"000000005843";"Aktier, andel. flyt ml.bfkr."
"000000005844";"Kapitalindskud flyt.ml bfkr."
"000000005858";"Obligationer – opkøbskurstab/gevinst"
"000000005900";"Værdipapirer, afgang"
"000000005902";"Obligationer alle afgang"
"000000005903";"Akt., andelsbreve o.l. - afg."
"000000005904";"Kapitalindskud - afgang"
"000000005996";"Ænd.værdipapir. Modst"
"000000006000";"Varebeholdninger"
"000000006011";"Energilagre - lagerværdi"
"000000006012";"Energilagre - tilgang"
"000000006014";"Energilagre - afgang"
"000000006015";"Energilagre - lagerregulering"
"000000006031";"Varebeholdning - lagerværdi"
"000000006032";"Varebeholdning - tilgang"
"000000006034";"Varebeholdning - afgang"
"000000006035";"Varebeholdning - lagerreg."
"000000006070";"Forudbetalinger for lagervarer"
"000000006090";"EUs interventionslagre i DK"
"000000006098";"Ændring af lagre (kun ØS)"
"000000006100";"Tilgodehavender"
"000000006102";"Skattetilgodehavender"
"000000006105";"Tilgh.Danmarks Erhvervsfornd"
"000000006111";"Tilgh.v/salg af vare/tj.ydelse"
"000000006115";"Debitor samlekonto"
"000000006116";"Lokal.sys.debitorsamlerkonto"
"000000006118";"Tilgh.int.statsl.handl deb.sys"
"000000006121";"Ref.berettiget købsmoms, drift"
"000000006122";"Ref.berettiget købsmoms, anlæg"
"000000006123";"Momsafregning fra ØS"
"000000006130";"Andre tilgodehavender"
"000000006133";"Refusion af udgifter"
"000000006140";"Igangv.arb.f.frem.reg.tilgh."
"000000006150";"Foretagne udlæg"
"000000006155";"Rejseforskud"
"000000006160";"Deposita m.v."
"000000006170";"Ml.reg.konti. intern debitorer"
"000000006172";"Øvr.tilgodh.int.statsl.handel"
"000000006174";"Mellemregning stat-selv/priv"
"000000006177";"Mellemregn.statsins. FF4"
"000000006178";"Mellemregn SEA FF4"
"000000006179";"Mellemregn. FF8 sær.kto."
"000000006187";"Lønafregningskto"
"000000006188";"Lønfordelingskto."
"000000006190";"Periodeafgrænsningspost. tilg."
"000000006191";"Forudbetaling af tilskud"
"000000006192";"Forsvarets forudbetalinger, med udgiftseffekt"
"000000006195";"Tilgodeh. ved afg. af tilsagn"
"000000006197";"Modkonto tilbagebet. af tilskud"
"000000006198";"Ænd.kortfrist. tilg.debitor ØS"
"000000006200";"SKB-kassekredit og SKB-uforrentet likviditet"
"000000006211";"SKB FF5 uforrentet konto"
"000000006231";"SKB FF7 finansieringskonto"
"000000006300";"Likvide beholdninger"
"000000006331";"SKB FF1 (mdl. udsaldering)"
"000000006332";"SKB FF2 finansieringskonto"
"000000006333";"SKB FF3 (selvejende ins.)"
"000000006334";"SKB FF3 selvej. ins. bruttoløn"
"000000006338";"SKB centrale konti ØS"
"000000006341";"SKB transaktionskti. med saldi"
"000000006342";"SKB mellemfinansieringskonto"
"000000006343";"SKB transaktionsk., fælles"
"000000006344";"SKB transaktionsk., indb."
"000000006346";"SKB transaktionsk., udbet."
"000000006348";"SKB transaktionsk., løn"
"000000006351";"Indestå. OBS konti SKB ØS"
"000000006352";"Indestå. SIs konti i SKB - ØS"
"000000006353";"Indestå. særl.fonde SKB - ØS"
"000000006355";"Indestå. FF4 statsins."
