"032101107471";5830133,83;0,00
"032101107472";-5830133,83;0,00
"032101109515";249127,40;0,00
"032101109729";-59843,90;0,00
"032101109750";-145985,48;0,00
"032101109781";-40077,17;0,00
"032101109782";-16106,00;0,00
"032101109784";-6308,00;0,00
"032101109788";502,92;0,00
"032101109789";-112962,94;0,00
"032101109791";109694,17;0,00
"032101109870";-69577576,96;0,00
"032101109871";967632,05;0,00
"032101109881";-1416847,11;0,00
"032101971100";0,00;600000,00
"032101971180";245847,88;0,00
"032101971800";0,00;300000,00
"032101971811";195485,00;0,00
"032101972200";0,00;300000,00
"032101972220";20945,88;0,00
"032101972270";29417,00;0,00
"032101976121";1102,37;0,00
"032101976195";7850000,00;0,00
"032101979341";-8254152,12;0,00
"033101101180";5561,04;0,00
"033101101800";0,00;2400000,00
"033101101811";1927045,07;0,00
"033101101841";131000,00;0,00
"033101101881";324842,19;0,00
"033101102200";0,00;1000000,00
"033101102210";134869,85;0,00
"033101102220";38565,99;0,00
"033101102270";639863,80;0,00
"033101102280";17953,52;0,00
"033101104400";0,00;1800000,00
"033101104424";1796622,86;0,00
"033101106121";173823,14;0,00
"033101106346";-413870,06;0,00
"033101107471";851535,05;0,00
"033101107472";-851535,05;0,00
"033101109411";-31338,90;0,00
"033101109750";100,00;0,00
"033101109881";-496676,42;0,00
"033111101011";202100000,00;0,00
"033111101600";0,00;16400000,00
"033111101610";14712338,76;0,00
"033111101800";0,00;153500000,00
"033111101809";-4369987,97;0,00
"033111101811";135480911,23;0,00
"033111101816";-429732,21;0,00
"033111101818";445420,68;0,00
"033111101841";341381,45;0,00
"033111101851";30542,00;0,00
"033111101856";-319612,72;0,00
"033111101871";31503,99;0,00
"033111101876";2991856,63;0,00
"033111101878";15330,22;0,00
"033111101881";21881875,72;0,00
"033111101883";56782,34;0,00
"033111101888";-32933,00;0,00
"033111101891";-1823868,74;0,00
"033111101892";-319190,93;0,00
"033111102000";0,00;2100000,00
"033111102030";380652,96;0,00
"033111102200";0,00;29900000,00
"033111102209";-1385286,13;0,00
"033111102210";1424870,49;0,00
"033111102220";541335,55;0,00
"033111102230";3120133,95;0,00
"033111102232";800928,22;0,00
"033111102236";28194,00;0,00
"033111102237";787390,95;0,00
"033111102240";46575,00;0,00
"033111102250";142123,60;0,00
"033111102255";1015216,06;0,00
"033111102260";1511242,39;0,00
"033111102265";7188097,38;0,00
"033111102270";7826168,40;0,00
"033111102280";1402414,33;0,00
"033111102291";461,51;0,00
"033111102600";0,00;200000,00
"033111102620";18018,90;0,00
"033111102680";19,67;0,00
"033111104310";473062,50;0,00
"033111105135";-78146,49;0,00
"033111105175";-274391,58;0,00
"033111105182";575866,25;0,00
"033111105185";-28114,89;0,00
"033111106111";-275686,93;0,00
"033111106115";-11647,11;0,00
"033111106121";5526753,80;0,00
"033111106123";-5377566,27;0,00
"033111106150";279,00;0,00
"033111106155";8446,00;0,00
"033111106160";38250,00;0,00
"033111106170";73064,21;0,00
"033111106211";-873106,33;0,00
"033111106231";11410280,02;0,00
"033111106341";-250,00;0,00
"033111107403";8085762,82;0,00
"033111107406";-8085762,82;0,00
"033111107616";-1952320,27;0,00
"033111108621";380652,96;0,00
"033111109411";429732,21;0,00
"033111109511";-90201,86;0,00
"033111109515";-3636689,28;0,00
"033111109729";-90,00;0,00
"033111109735";319612,72;0,00
"033111109750";250,00;0,00
"033111109781";20760,63;0,00
"033111109782";33710,00;0,00
"033111109784";6588,00;0,00
"033111109788";-140769,75;0,00
"033111109789";13738,45;0,00
"033111109870";633029,94;0,00
"033111109881";-113523,36;0,00
"033111901100";0,00;4000000,00
"033111901180";4288021,35;0,00
"033111901800";0,00;3000000,00
"033111901808";4369987,97;0,00
"033111902200";0,00;1000000,00
"033111902208";1385286,13;0,00
"033111907403";-1467252,75;0,00
"033111907406";1467252,75;0,00
"034101104400";0,00;53700000,00
"034101104424";53600348,15;0,00
"034101109791";-21908405,47;0,00
"034101109881";-24522,54;0,00
"034101109887";-2153973,10;0,00
"034101303400";0,00;2700000,00
"034101303410";2992108,18;0,00
"034101304400";0,00;18300000,00
"034101304421";17205851,74;0,00
"034101304424";146011,86;0,00
"034101309791";-2556553,41;0,00
"034101309881";1032248,03;0,00
"034101403400";0,00;1900000,00
"034101403410";1957572,09;0,00
"034101404400";0,00;1700000,00
"034101404421";1790902,05;0,00
"034101406346";-738115,66;0,00
"034101409515";109694,17;0,00
"034101409791";-159777,55;0,00
"034101409881";1416957,09;0,00
"034101409887";-156512,90;0,00
"034101504400";0,00;1100000,00
"034101504421";515544,46;0,00
"034101504424";664752,45;0,00
"034101509791";94875,31;0,00
"034101602270";1,50;0,00
"034101603400";0,00;2200000,00
"034101603410";2114110,55;0,00
"034101604400";0,00;8600000,00
"034101604421";8119235,21;0,00
"034101604423";341716,41;0,00
"034101604424";67384,59;0,00
"034101607464";-6543943,50;0,00
"034101609511";16192,98;0,00
